Receta,Score,Quantity Score,Dificultad,Tiempo Preparación,Tiempo Total,Cantidades,Ingredientes,Nutrición
Guarnición de calabacín,4.5,18 valoraciones,fácil,10min,30min,6 raciones,"['2 dientes de ajo', '40 g de aceite de oliva virgen extra', '850 g de calabacín sin pelar y cortado en dados (3 cm x 3 cm)', '1 cucharadita de sal', '1 pellizco de pimienta molida']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '86 kcal / 360 kJ'), ('Proteína', '2.65 g'), ('Grasa', '6.95 g'), ('Carbohidratos', '3.22 g'), ('Fibra', '1.45 g')]"
Lomo de cerdo con salsa agridulce,5.0,2 valoraciones,avanzado,30min,1h 50min,6 raciones,"['2 cucharadas de aceite de oliva', '2 cucharadas de mantequilla', '1 cucharada de azúcar', '800 g de lomo centro de cerdo', '½ cucharadita de sal', '2 pellizcos de pimienta negra recién molida', '200 g de chalotas cortadas en cuatro', '50 g de mantequilla', '1 cucharadita de sal', '2 pellizcos de pimienta negra recién molida', '400 g de vino blanco', '300 g de agua', '20 g de miel de abeja', '50 g de damascos deshidratados', '50 g de ciruelas descarozadas deshidratadas']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '490 kcal / 2051 kJ'), ('Proteína', '28.9 g'), ('Grasa', '26.1 g'), ('Carbohidratos', '24.1 g')]"
Puchero,4.7,3 valoraciones,fácil,15min,1h,4 portions,"['400 g de falda de ternera en trozos', '400 g de osobuco de ternera en trozos', '100 g de puerro en rodajas', '1000 g de agua', '2 cucharadas de concentrado de caldo de verduras casero\no bien 2 cubitos de caldo de verduras', '1 cucharadita de sal', '200 g de zanahoria en cubos de aprox. 2 x 2 cm', '200 g de papa en cubos de aprox. 2 x 2 cm', '200 g de batata en cubos de aprox. 2 x 2 cm', '2 choclos en rodajas']","[('Inf. nutricional', 'por 1 portion'), ('Calorías', '564 kcal / 2361 kJ'), ('Proteína', '72 g'), ('Grasa', '17 g'), ('Carbohidratos', '31 g')]"
Licuado de banana y dulce de leche,5.0,3 valoraciones,fácil,5min,5min,4 vasos,"['200 g de dulce de leche', '400 g de leche', '4 bananas maduras (aprox. 400 g), en trozos', '100 g de cubitos de hielo']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '277 kcal / 1157 kJ'), ('Proteína', '8 g'), ('Grasa', '7 g'), ('Carbohidratos', '47 g')]"
Arroz con leche,4.7,115 valoraciones,fácil,5min,1h 30min,6 raciones,"['1500 g de leche entera', '200 g de arroz de grano redondo', '3 - 4 tiras de piel de limón (sólo la parte amarilla)', '4 - 5 tiras de piel de naranja (sólo la parte naranja)', '1 palo de canela', '1 pellizco de sal', '230 g de azúcar', '70 g de mantequilla (opcional)', 'canela molida para espolvorear']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '513 kcal / 2137 kJ'), ('Proteína', '10.12 g'), ('Grasa', '18.89 g'), ('Carbohidratos', '75.56 g')]"
Mojo verde,5.0,4 valoraciones,fácil,5min,10min,180 g,"['2 dientes de ajo', '20 - 30 ramitas de cilantro fresco (solo las hojas)', '1 cucharadita de sal', '150 g de aceite de oliva virgen extra', '15 g de vinagre']","[('Inf. nutricional', 'por 100 g'), ('Calorías', '758 kcal / 3173 kJ'), ('Proteína', '0 g'), ('Grasa', '83 g'), ('Carbohidratos', '1 g')]"
Espinacas a la crema con huevos poché,4.8,40 valoraciones,fácil,15min,35min,6 raciones,"['1 - 2 dientes de ajo', '50 g de aceite de oliva virgen extra', '500 g de espinacas congeladas (previamente descongeladas y escurridas, peso escurrido 300 g)', '1 cucharadita de sal', '50 g de harina', '500 g de leche', '30 g de mantequilla', '1 pellizco de nuez moscada molida', '1 pellizco de pimienta negra molida', '6 huevos', '50 g de queso rallado']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '328 kcal / 1370 kJ'), ('Proteína', '15.24 g'), ('Grasa', '24.59 g'), ('Carbohidratos', '11.39 g')]"
Queque de limón con moras,5.0,1 valoración,fácil,15min,1h,8 raciones,"['280 g de harina sin polvos de hornear, y un poco más para las moras', '40 g de maicena (almidón de maíz)', '1 cucharada de polvo de hornear', '220 g de moras', '225 g de azúcar y un poco más para las moras', '110 g de aceite de maravilla', '110 g de yogur natural tipo griego, sin endulzar', '3 huevos', '20 g de jugo de limón recién exprimido', '1 cucharada de piel de limón rallado']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '438.1 kcal / 1832.9 kJ'), ('Proteína', '7.9 g'), ('Grasa', '17 g'), ('Carbohidratos', '65.8 g'), ('Fibra', '2.7 g'), ('Grasas saturadas', '2.6 g'), ('Sodio', '175.5 mg')]"
Bolitas de maní y cacao,5.0,1 valoración,fácil,5min,10min,20 unidades,"['200 g de dátiles', '15 g de cacao amargo en polvo', '20 g de coco en escamas', '100 g de maní sin sal', '10 g de miel', '15 g de avena instantánea', '100 g de coco rallado']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '101.3 kcal / 423.7 kJ'), ('Proteína', '2.4 g'), ('Grasa', '7.2 g'), ('Carbohidratos', '8.4 g'), ('Fibra', '2.1 g'), ('Grasas saturadas', '4.1 g'), ('Sodio', '14.4 mg')]"
Ensalada de hojas verdes con aderezo de yogur y betarraga,5.0,1 valoración,fácil,5min,10min,4 raciones,"['85 g de yogur natural tipo griego, sin endulzar', '100 g de betarraga cocida, muy blanda', '30 g de aceite de oliva', '1 cucharadita de aceite de sésamo', '50 g de jugo de limón recién exprimido', '10 g de mostaza de Dijon', '½ cucharadita de comino molido', '1 pellizco de pimienta negra molida', '1 pellizco de sal', '200 g de hojas verdes de ensalada', '350 g de apio cortado en rodajas', '150 g de naranjas en gajos', '50 g de almendras laminadas tostadas', '20 g de ciboulette fresco']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '219.3 kcal / 917.5 kJ'), ('Proteína', '5.7 g'), ('Grasa', '16.1 g'), ('Carbohidratos', '16.2 g'), ('Fibra', '5.9 g'), ('Grasas saturadas', '2.1 g'), ('Sodio', '168.7 mg')]"
